covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),HR,logHR
Age,0.001517771828444037,1.001518924227058,0.0188997976225872,-0.03552515082692261,0.038560694483810685,0.9650984609004012,1.0393138070587369,0.0,0.08030624765156975,0.9359936893576768,0.09542929196231072,1.001518924227058,0.001517771828444037
Tumor size (cm),0.1121845821103146,1.1187193371646267,0.1290184720704185,-0.1406869764880925,0.3650561407087217,0.868761211825416,1.4405948818966916,0.0,0.8695234125008399,0.38456090796021924,1.3787159800472018,1.1187193371646267,0.1121845821103146
Grade,0.4541412852672295,1.5748204806903012,0.30401481412729014,-0.14171680118889796,1.0499993717233571,0.8678670005898143,2.8576493226682764,0.0,1.4938130122734146,0.13522449952059976,2.8865715369447402,1.5748204806903012,0.4541412852672295
Stage (TNM 8th edition)_IA3,-0.5885931308904153,0.5551076995099985,0.465610850254425,-1.5011736282001604,0.3239873664193299,0.22286844191016672,1.3826298394435266,0.0,-1.2641310454186985,0.20618299525375902,2.2780027421750346,0.5551076995099985,-0.5885931308904153
Stage (TNM 8th edition)_IB,-0.6051772269636323,0.5459776561025863,0.45811371822555014,-1.5030636155094412,0.2927091615821765,0.2224476211815018,1.340052994857841,0.0,-1.3210196571011132,0.1864948099682145,2.422792613132351,0.5459776561025863,-0.6051772269636323
Stage (TNM 8th edition)_IIA,0.8557302783294101,2.3530921654835706,1.092143761638162,-1.2848321604214847,2.996292717080305,0.2766970204461848,20.011212012082602,0.0,0.7835326340607913,0.43331439768185886,1.2065139212382803,2.3530921654835706,0.8557302783294101
Stage (TNM 8th edition)_IIB,0.33910687664630595,1.4036933592347625,0.5891483730207455,-0.8156027160247246,1.4938164693173364,0.44237262192747034,4.454061913177854,0.0,0.5755882425807277,0.5648935300011336,0.8239491180036448,1.4036933592347625,0.33910687664630595
Stage (TNM 8th edition)_IIIA,0.2854903840444596,1.330414282117398,0.527453087556827,-0.748298671101373,1.3192794391902922,0.4731708876330222,3.7407249860957523,0.0,0.5412621345470867,0.5883269157871374,0.7653100542432302,1.330414282117398,0.2854903840444596
Stage (TNM 8th edition)_IIIB,1.3808688887411933,3.978356875661961,0.8842377995488411,-0.3522053521434829,3.1139431296258695,0.7031357167232958,22.509628018733274,0.0,1.5616487888730215,0.11837074915913952,3.0786154772371535,3.978356875661961,1.3808688887411933
Stage (TNM 8th edition)_IVA,1.6458359385605519,5.18534272364429,1.2315149121804367,-0.7678889357371115,4.059560812858216,0.4639915511096326,57.94885509735866,0.0,1.3364320011736979,0.18140811240675953,2.462689121560576,5.18534272364429,1.6458359385605519
Stage (TNM 8th edition)_Recurrence,1.0004657946257864,2.7195482844574155,0.7944628173032116,-0.5566527143447331,2.5575843035963057,0.5731242673327563,12.904606021858054,0.0,1.2592984502683813,0.20792255279188393,2.2658818430097116,2.7195482844574155,1.0004657946257864
Type.Adjuvant_Chemorad,1.2902219358268194,3.6335928907147172,0.8256433088068205,-0.32800921351103063,2.9084530851646697,0.7203563826632485,18.328424115073968,0.0,1.562686843173701,0.11812627051881405,3.0815982484206574,3.6335928907147172,1.2902219358268194
Type.Adjuvant_None,0.08054943196991485,1.0838824237613913,0.43671162734382196,-0.7753896292538537,0.9364884931936833,0.46052431229392693,2.5510077908526543,0.0,0.1844453569048174,0.853664090475918,0.22825960154980324,1.0838824237613913,0.08054943196991485
Type.Adjuvant_XRT,0.9919963731244689,2.6966125470572133,2.324554861796855,-3.56404743608485,5.5480401823337875,0.028323953013575154,256.7339108867039,0.0,0.42674681050877267,0.6695637514952493,0.5787066687816514,2.6966125470572133,0.9919963731244689
